id,label
1,0
2,4
3,5
4,7
5,0
6,1
7,1
8,8
9,1
10,3
11,6
12,6
13,1
14,4
15,5
16,7
17,0
18,5
19,1
20,7
21,6
22,0
23,0
24,3
25,6
26,7
27,1
28,2
29,5
30,3
31,7
32,0
33,3
34,5
35,2
36,4
37,6
38,-2
39,1
40,1
41,7
42,6
43,4
44,3
45,0
46,6
47,3
48,6
49,-2
50,4
51,0
52,1
53,1
54,6
55,2
56,0
57,5
58,7
59,7
60,4
61,4
62,4
63,4
64,0
65,2
66,1
67,10
68,0
69,3
70,5
71,10
72,6
73,3
74,1
75,3
76,0
77,4
78,5
79,5
80,2
81,5
82,4
83,3
84,32
85,5
86,2
87,0
88,5
89,2
90,7
91,4
92,0
93,8
94,5
95,2
96,0
97,2
98,3
99,5
100,1
101,4
102,1
103,1
104,0
105,2
106,1
107,5
108,2
109,0
110,0
111,0
112,5
113,6
114,0
115,4
116,1
117,5
118,0
119,2
120,3
121,4
122,0
123,2
124,3
125,1
126,2
127,8
128,2
129,5
130,9
131,5
132,1
133,1
134,7
135,5
136,2
137,5
138,3
139,5
140,3
141,7
142,0
143,8
144,7
145,2
146,2
147,3
148,5
149,11
150,3
151,1
152,3
153,3
154,2
155,7
156,0
157,2
158,4
159,1
160,5
161,3
162,5
163,5
164,2
165,7
166,6
167,7
168,5
169,1
170,4
171,7
172,4
173,3
174,6
175,3
176,6
177,5
178,5
179,5
180,6
181,5
182,10
183,2
184,4
185,2
186,4
187,2
188,2
189,2
190,1
191,8
192,5
193,2
194,2
195,2
196,3
197,3
198,8
199,1
200,4
201,5
202,7
203,4
204,3
205,6
206,6
207,3
208,5
209,7
210,5
211,1
212,0
213,5
214,5
215,2
216,4
217,2
218,0
219,3
220,3
221,6
222,1
223,2
224,5
225,6
226,5
227,10
228,5
229,0
230,5
231,-3
232,7
233,3
234,5
235,4
236,3
237,7
238,0
239,2
240,4
241,0
242,6
243,0
244,4
245,1
246,5
247,4
248,3
249,5
250,4
251,1
252,3
253,6
254,4
255,3
256,1
257,6
258,1
259,1
260,6
261,6
262,4
263,2
264,1
265,4
266,5
267,4
268,4
269,0
270,4
271,6
272,4
273,6
274,4
275,4
276,0
277,2
278,0
279,10
280,3
281,5
282,4
283,0
284,3
285,6
286,2
287,1
288,6
289,6
290,3
291,6
292,3
293,5
294,1
295,4
296,3
297,2
298,1
299,9
300,6
301,5
302,1
303,2
304,1
305,0
306,3
307,3
308,2
309,7
310,5
311,6
312,1
313,4
314,5
315,6
316,3
317,2
318,2
319,6
320,5
321,4
322,7
