TestDataID,Rating
1,4.06619
2,4.10606
3,4.14062
4,2.50532
5,3.38442
6,3.75715
7,4.27796
8,3.30253
9,3.30254
10,2.7258
11,4.18081
12,3.22276
13,3.19029
14,3.40748
15,3.47313
16,3.30523
17,3.71959
18,4.12055
19,3.86801
20,3.58265
21,3.7712
22,4.11373
23,3.79433
24,2.96057
25,3.60169
26,3.11375
27,3.58127
28,3.44458
29,2.47663
30,3.19511
31,3.30462
32,3.07048
33,3.48499
34,2.8205
35,4.26296
36,3.85415
37,3.8948
38,3.2826
39,3.24781
40,2.30584
41,3.19087
42,3.79455
43,2.39931
44,3.96566
45,3.67298
46,3.34106
47,3.41707
48,3.89262
49,3.87496
50,3.39156
51,3.82823
52,3.28963
53,4.32855
54,4.43613
55,3.86084
56,3.52905
57,4.30477
58,2.80113
59,3.88265
60,3.66052
61,3.27767
62,4.15015
63,4.05318
64,4.07402
65,4.34216
66,3.90668
67,4.38613
68,4.30627
69,3.36132
70,4.46245
71,3.38852
72,4.26297
73,3.29086
74,4.48009
75,3.0786
76,3.12431
77,4.25771
78,4.04694
79,3.99479
80,4.06041
81,3.86191
82,4.33416
83,4.80878
84,4.28811
85,4.39445
86,3.58073
87,5.14622
88,3.98026
89,4.78046
90,4.18155
91,4.33605
92,4.02489
93,4.37126
94,4.12525
95,4.17936
96,3.86145
97,4.23422
98,4.40303
99,4.17854
100,4.14331
101,3.85398
102,3.97774
103,4.76184
104,4.21458
105,3.84038
106,4.01924
107,3.96878
108,4.24417
109,3.60577
110,4.34301
111,4.44086
112,4.37134
113,4.536
114,3.4728
115,4.1839
116,2.57388
117,3.95029
118,3.11413
119,3.61318
120,2.63293
121,1.61586
122,3.25354
123,4.04055
124,2.96315
125,3.09898
126,4.30721
127,4.3134
128,4.21311
129,3.97617
130,3.02125
131,3.54794
132,3.62688
133,4.02256
134,3.98309
135,2.19931
136,3.95016
137,3.80863
138,3.87999
139,3.9915
140,3.16273
141,2.82657
142,3.42487
143,3.55179
144,3.29045
145,3.44562
146,3.16657
147,3.65739
148,3.96453
149,3.05356
150,2.77003
151,3.54028
152,3.49126
153,3.31125
154,1.9741
